scraped_at,title,link,author,points,time_ago,comments_link
2025-12-01T19:46:58.877506Z,DeepSeek-v3.2: Pushing the frontier of open large language models [pdf],https://huggingface.co/deepseek-ai/DeepSeek-V3.2/resolve/main/assets/paper.pdf,pretext,163,2 hours ago,item?id=46108780
2025-12-01T19:46:58.877798Z,India orders smartphone makers to preload state-owned cyber safety app,https://www.reuters.com/sustainability/boards-policy-regulation/india-orders-mobile-phones-preloaded-with-government-app-ensure-cyber-safety-2025-12-01/,jmsflknr,128,2 hours ago,item?id=46104193
2025-12-01T19:46:58.877950Z,Ask HN: Who is hiring? (December 2025),item?id=46108941,whoishiring,139,3 hours ago,item?id=46108941
2025-12-01T19:46:58.878070Z,Intel could return to Apple computers in 2027,https://www.theverge.com/news/832366/intel-apple-m-chip-low-end-processor,DamnInteresting,28,1 hour ago,item?id=46111284
2025-12-01T19:46:58.878191Z,Ghostty compiled to WASM with xterm.js API compatibility,https://github.com/coder/ghostty-web,kylecarbs,39,1 hour ago,item?id=46110842
2025-12-01T19:46:58.878292Z,"Why xor eax, eax?",https://xania.org/202512/01-xor-eax-eax,hasheddan,371,7 hours ago,item?id=46106556
2025-12-01T19:46:58.878380Z,Isn't WSL2 just a VM?,https://ssg.dev/isnt-wsl2-just-a-vm/,sedatk,103,4 hours ago,item?id=46039140
2025-12-01T19:46:58.878466Z,Cartographers Have Been Hiding Covert Illustrations Inside of Switzerland's Maps,https://eyeondesign.aiga.org/for-decades-cartographers-have-been-hiding-covert-illustrations-inside-of-switzerlands-official-maps/,mhb,183,6 hours ago,item?id=46107282
2025-12-01T19:46:58.878545Z,High-income job losses are cooling housing demand,https://jbrec.com/insights/job-growth-housing-demand-metro-analysis-2026/,gmays,155,1 hour ago,item?id=46110908
2025-12-01T19:46:58.878621Z,Better Than JSON,https://aloisdeniel.com/blog/better-than-json,barremian,14,47 minutes ago,item?id=46111469
2025-12-01T19:46:58.878694Z,Ask HN: Who wants to be hired? (December 2025),item?id=46108940,whoishiring,49,3 hours ago,item?id=46108940
2025-12-01T19:46:58.878770Z,Better Auth (YC X25) Is Hiring,https://www.ycombinator.com/companies/better-auth/jobs/eKk5nLt-developer-relation-engineer,,0,2 hours ago,hide?id=46109802&goto=news
2025-12-01T19:46:58.878847Z,Search tool that only returns content created before ChatGPT's public release,https://tegabrain.com/Slop-Evader,dmitrygr,768,15 hours ago,item?id=46103376
2025-12-01T19:46:58.878922Z,ImAnim: Modern animation capabilities to ImGui applications,https://github.com/soufianekhiat/ImAnim,klaussilveira,51,3 hours ago,item?id=46109080
2025-12-01T19:46:58.879000Z,Durin is a library for reading and writing the Dwarf debugging format,https://github.com/tmcgilchrist/durin,mooreds,9,1 hour ago,item?id=46111120
2025-12-01T19:46:58.879077Z,"Response to ""Ruby Is Not a Serious Programming Language""",https://robbyonrails.com/articles/2025/12/01/why-so-serious/,robbyrussell,72,1 hour ago,item?id=46110836
2025-12-01T19:46:58.879165Z,A vector graphics workstation from the 70s,https://justanotherelectronicsblog.com/?p=1429,ibobev,104,6 hours ago,item?id=46107177
2025-12-01T19:46:58.879243Z,Self-hosting a Matrix server for 5 years,https://yaky.dev/2025-11-30-self-hosting-matrix/,the-anarchist,203,8 hours ago,item?id=46106132
2025-12-01T19:46:58.879317Z,Historic Engineering Wonders: Photos That Reveal How They Pulled It Off,https://rarehistoricalphotos.com/engineering-methods-from-the-past/,dxs,93,6 hours ago,item?id=46045876
2025-12-01T19:46:58.879391Z,Google unkills JPEG XL?,https://tonisagrista.com/blog/2025/google-unkills-jpegxl/,speckx,163,4 hours ago,item?id=46108563
2025-12-01T19:46:58.879465Z,I made a quieter air purifier,https://chillphysicsenjoyer.substack.com/p/i-made-a-quieter-air-purifier,crescit_eundo,98,7 hours ago,item?id=46039594
2025-12-01T19:46:58.879566Z,Games using anti-cheats and their compatibility with GNU/Linux or Wine/Proton,https://areweanticheatyet.com/,doener,224,12 hours ago,item?id=46104396
2025-12-01T19:46:58.879754Z,Langjam Gamejam: Build a programming language then make a game with it,https://langjamgamejam.com/,birdculture,102,10 hours ago,item?id=46097671
2025-12-01T19:46:58.879926Z,React and Remix Choose Different Futures,https://laconicwit.com/react-and-remix-choose-different-futures/,surprisetalk,4,49 minutes ago,item?id=46111449
2025-12-01T19:46:58.880120Z,Spleen Monospaced Bitmap Fonts,https://github.com/fcambus/spleen,keyle,17,3 hours ago,item?id=46054471
2025-12-01T19:46:58.880287Z,How we built the v0 iOS app,https://vercel.com/blog/how-we-built-the-v0-ios-app,MaxLeiter,12,1 hour ago,item?id=46040623
2025-12-01T19:46:58.880448Z,WordPress plugin quirk resulted in UK Gov OBR Budget leak [pdf],https://obr.uk/docs/dlm_uploads/01122025-Investigation-into-November-2025-EFO-publication-error.pdf,robtaylor,103,4 hours ago,item?id=46108243
2025-12-01T19:46:58.880608Z,Itâ€™s been a very hard year,https://bell.bz/its-been-a-very-hard-year/,surprisetalk,308,14 hours ago,item?id=46103858
2025-12-01T19:46:58.880762Z,The Penicillin Myth,https://www.asimov.press/p/penicillin-myth,surprisetalk,101,5 hours ago,item?id=46107658
2025-12-01T19:46:58.880921Z,Trifold is a tool to quickly and cheaply host static websites using a CDN,https://www.jpt.sh/projects/trifold/,birdculture,90,11 hours ago,item?id=46031608
